,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,phq9,6,PCA,XG,1,0.6363636363636364,0.4954954954954955,49,6,24,32,1,0
1,2,phq9,6,PCA,XG,2,0.6666666666666667,0.5315315315315315,52,7,23,29,1,0
2,2,phq9,6,PCA,XG,3,0.6535947712418301,0.5225225225225225,50,8,22,31,1,0
3,2,phq9,6,PCA,XG,4,0.6835443037974684,0.5495495495495496,54,7,23,27,1,0
4,2,phq9,6,PCA,XG,1,0.7453416149068324,0.6306306306306306,60,10,20,21,1,1
5,2,phq9,6,PCA,XG,2,0.7455621301775148,0.6126126126126126,63,5,25,18,1,1
6,2,phq9,6,PCA,XG,3,0.7283950617283951,0.6036036036036037,59,8,22,22,0,1
7,2,phq9,6,PCA,XG,4,0.7151515151515152,0.5765765765765766,59,5,25,22,1,1
8,2,phq9,6,PCA,XG,1,0.6973684210526315,0.5855855855855856,53,12,18,28,1,2
9,2,phq9,6,PCA,XG,2,0.662251655629139,0.5405405405405406,50,10,20,31,1,2
10,2,phq9,6,PCA,XG,3,0.6710526315789473,0.5495495495495496,51,10,20,30,1,2
11,2,phq9,6,PCA,XG,4,0.6357615894039735,0.5045045045045045,48,8,22,33,1,2
12,2,phq9,6,PCA,XG,1,0.6620689655172414,0.5585585585585585,48,14,16,33,0,3
13,2,phq9,6,PCA,XG,2,0.7125,0.5855855855855856,57,8,22,24,0,3
14,2,phq9,6,PCA,XG,3,0.7453416149068324,0.6306306306306306,60,10,20,21,0,3
15,2,phq9,6,PCA,XG,4,0.7215189873417721,0.6036036036036037,57,10,20,24,1,3
16,2,phq9,6,PCA,XG,1,0.7425149700598802,0.6126126126126126,62,6,24,19,0,4
17,2,phq9,6,PCA,XG,2,0.6875000000000001,0.5495495495495496,55,6,24,26,1,4
18,2,phq9,6,PCA,XG,3,0.7204968944099378,0.5945945945945946,58,8,22,23,1,4
19,2,phq9,6,PCA,XG,4,0.7283950617283951,0.6036036036036037,59,8,22,22,1,4
20,2,phq9,6,PCA,XG,1,0.6578947368421051,0.5315315315315315,50,9,21,31,1,5
21,2,phq9,6,PCA,XG,2,0.7654320987654321,0.6576576576576577,62,11,19,19,1,5
22,2,phq9,6,PCA,XG,3,0.7160493827160493,0.5855855855855856,58,7,23,23,1,5
23,2,phq9,6,PCA,XG,4,0.7204968944099378,0.5945945945945946,58,8,22,23,1,5
24,2,phq9,6,PCA,XG,1,0.7295597484276728,0.6126126126126126,58,10,20,23,1,6
25,2,phq9,6,PCA,XG,2,0.7710843373493975,0.6576576576576577,64,9,21,17,1,6
26,2,phq9,6,PCA,XG,3,0.7261146496815287,0.6126126126126126,57,11,19,24,0,6
27,2,phq9,6,PCA,XG,4,0.7329192546583853,0.6126126126126126,59,9,21,22,1,6
28,2,phq9,6,PCA,XG,1,0.7882352941176471,0.6756756756756757,67,8,22,14,1,7
29,2,phq9,6,PCA,XG,2,0.7439024390243902,0.6216216216216216,61,8,22,20,1,7
30,2,phq9,6,PCA,XG,3,0.7607361963190185,0.6486486486486487,62,10,20,19,1,7
31,2,phq9,6,PCA,XG,4,0.7485380116959064,0.6126126126126126,64,4,26,17,1,7
32,2,phq9,6,PCA,XG,1,0.7749999999999999,0.6756756756756757,62,13,17,19,1,8
33,2,phq9,6,PCA,XG,2,0.7250000000000001,0.6036036036036037,58,9,21,23,1,8
34,2,phq9,6,PCA,XG,3,0.6832298136645963,0.5405405405405406,55,5,25,26,0,8
35,2,phq9,6,PCA,XG,4,0.703030303030303,0.5585585585585585,58,4,26,23,1,8
36,2,phq9,6,PCA,XG,1,0.5942028985507246,0.4954954954954955,41,14,16,40,1,9
37,2,phq9,6,PCA,XG,2,0.717948717948718,0.6036036036036037,56,11,19,25,1,9
38,2,phq9,6,PCA,XG,3,0.7051282051282051,0.5855855855855856,55,10,20,26,1,9
39,2,phq9,6,PCA,XG,4,0.7204968944099378,0.5945945945945946,58,8,22,23,1,9
40,2,phq9,6,PCA,XG,1,0.7006369426751592,0.5765765765765766,55,9,21,26,0,10
41,2,phq9,6,PCA,XG,2,0.7080745341614907,0.5765765765765766,57,7,23,24,1,10
42,2,phq9,6,PCA,XG,3,0.7283950617283951,0.6036036036036037,59,8,22,22,1,10
43,2,phq9,6,PCA,XG,4,0.7710843373493975,0.6576576576576577,64,9,21,17,1,10
44,2,phq9,6,PCA,XG,1,0.6344827586206897,0.5225225225225225,46,12,18,35,0,11
45,2,phq9,6,PCA,XG,2,0.6928104575163399,0.5765765765765766,53,11,19,28,0,11
46,2,phq9,6,PCA,XG,3,0.6442953020134228,0.5225225225225225,48,10,20,33,1,11
47,2,phq9,6,PCA,XG,4,0.6753246753246753,0.5495495495495496,52,9,21,29,1,11
48,2,phq9,6,PCA,XG,1,0.7151515151515152,0.5765765765765766,59,5,25,22,1,12
49,2,phq9,6,PCA,XG,2,0.761904761904762,0.6396396396396397,64,7,23,17,1,12
50,2,phq9,6,PCA,XG,3,0.7630057803468208,0.6306306306306306,66,4,26,15,1,12
51,2,phq9,6,PCA,XG,4,0.7349397590361447,0.6036036036036037,61,6,24,20,1,12
52,2,phq9,6,PCA,XG,1,0.7810650887573963,0.6666666666666666,66,8,22,15,1,13
53,2,phq9,6,PCA,XG,2,0.7439024390243902,0.6216216216216216,61,8,22,20,1,13
54,2,phq9,6,PCA,XG,3,0.7710843373493975,0.6576576576576577,64,9,21,17,1,13
55,2,phq9,6,PCA,XG,4,0.7421383647798742,0.6306306306306306,59,11,19,22,1,13
56,2,phq9,6,PCA,XG,1,0.7250000000000001,0.6036036036036037,58,9,21,23,1,14
57,2,phq9,6,PCA,XG,2,0.7530864197530863,0.6396396396396397,61,10,20,20,1,14
58,2,phq9,6,PCA,XG,3,0.7361963190184049,0.6126126126126126,60,8,22,21,0,14
59,2,phq9,6,PCA,XG,4,0.7757575757575756,0.6666666666666666,64,10,20,17,0,14
60,2,phq9,6,PCA,XG,1,0.7636363636363638,0.6486486486486487,63,9,21,18,1,15
61,2,phq9,6,PCA,XG,2,0.7453416149068324,0.6306306306306306,60,10,20,21,0,15
62,2,phq9,6,PCA,XG,3,0.7317073170731708,0.6036036036036037,60,7,23,21,0,15
63,2,phq9,6,PCA,XG,4,0.7630057803468208,0.6306306306306306,66,4,26,15,1,15
64,2,phq9,6,PCA,XG,1,0.6711409395973154,0.5585585585585585,50,12,18,31,1,16
65,2,phq9,6,PCA,XG,2,0.6845637583892616,0.5765765765765766,51,13,17,30,1,16
66,2,phq9,6,PCA,XG,3,0.7160493827160493,0.5855855855855856,58,7,23,23,1,16
67,2,phq9,6,PCA,XG,4,0.7044025157232704,0.5765765765765766,56,8,22,25,1,16
