,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,phq9,8,PCA,XG,1,0.6666666666666666,0.5405405405405406,51,9,29,22,1,0
1,2,phq9,8,PCA,XG,2,0.6621621621621622,0.5495495495495496,49,12,26,24,1,0
2,2,phq9,8,PCA,XG,3,0.6666666666666666,0.5585585585585585,49,13,25,24,1,0
3,2,phq9,8,PCA,XG,4,0.68,0.5675675675675675,51,12,26,22,1,0
4,2,phq9,8,PCA,XG,1,0.5882352941176471,0.4954954954954955,40,15,23,33,1,1
5,2,phq9,8,PCA,XG,2,0.6357615894039735,0.5045045045045045,48,8,30,25,0,1
6,2,phq9,8,PCA,XG,3,0.6797385620915032,0.5585585585585585,52,10,28,21,0,1
7,2,phq9,8,PCA,XG,4,0.6482758620689656,0.5405405405405406,47,13,25,26,0,1
8,2,phq9,8,PCA,XG,1,0.6153846153846154,0.5045045045045045,44,12,26,29,0,2
9,2,phq9,8,PCA,XG,2,0.6438356164383562,0.5315315315315315,47,12,26,26,0,2
10,2,phq9,8,PCA,XG,3,0.6797385620915032,0.5585585585585585,52,10,28,21,0,2
11,2,phq9,8,PCA,XG,4,0.6709677419354839,0.5405405405405406,52,8,30,21,1,2
12,2,phq9,8,PCA,XG,1,0.6433566433566433,0.5405405405405406,46,14,24,27,1,3
13,2,phq9,8,PCA,XG,2,0.7027027027027026,0.6036036036036037,52,15,23,21,1,3
14,2,phq9,8,PCA,XG,3,0.6620689655172415,0.5585585585585585,48,14,24,25,1,3
15,2,phq9,8,PCA,XG,4,0.7058823529411764,0.5945945945945946,54,12,26,19,0,3
16,2,phq9,8,PCA,XG,1,0.6575342465753424,0.5495495495495496,48,13,25,25,0,4
17,2,phq9,8,PCA,XG,2,0.7074829931972789,0.6126126126126126,52,16,22,21,0,4
18,2,phq9,8,PCA,XG,3,0.647887323943662,0.5495495495495496,46,15,23,27,0,4
19,2,phq9,8,PCA,XG,4,0.6758620689655173,0.5765765765765766,49,15,23,24,0,4
20,2,phq9,8,PCA,XG,1,0.6754966887417219,0.5585585585585585,51,11,27,22,1,5
21,2,phq9,8,PCA,XG,2,0.6482758620689656,0.5405405405405406,47,13,25,26,1,5
22,2,phq9,8,PCA,XG,3,0.638888888888889,0.5315315315315315,46,13,25,27,1,5
23,2,phq9,8,PCA,XG,4,0.7189542483660132,0.6126126126126126,55,13,25,18,1,5
24,2,phq9,8,PCA,XG,1,0.6621621621621622,0.5495495495495496,49,12,26,24,1,6
25,2,phq9,8,PCA,XG,2,0.6891891891891893,0.5855855855855856,51,14,24,22,1,6
26,2,phq9,8,PCA,XG,3,0.6712328767123288,0.5675675675675675,49,14,24,24,1,6
27,2,phq9,8,PCA,XG,4,0.6666666666666666,0.5495495495495496,50,11,27,23,1,6
28,2,phq9,8,PCA,XG,1,0.7114093959731543,0.6126126126126126,53,15,23,20,1,7
29,2,phq9,8,PCA,XG,2,0.728476821192053,0.6306306306306306,55,15,23,18,1,7
30,2,phq9,8,PCA,XG,3,0.7019867549668874,0.5945945945945946,53,13,25,20,1,7
31,2,phq9,8,PCA,XG,4,0.7051282051282052,0.5855855855855856,55,10,28,18,1,7
32,2,phq9,8,PCA,XG,1,0.6845637583892618,0.5765765765765766,51,13,25,22,1,8
33,2,phq9,8,PCA,XG,2,0.6802721088435374,0.5765765765765766,50,14,24,23,0,8
34,2,phq9,8,PCA,XG,3,0.6577181208053691,0.5405405405405406,49,11,27,24,0,8
35,2,phq9,8,PCA,XG,4,0.7189542483660132,0.6126126126126126,55,13,25,18,0,8
36,2,phq9,8,PCA,XG,1,0.6666666666666666,0.5855855855855856,46,19,19,27,0,9
37,2,phq9,8,PCA,XG,2,0.6896551724137931,0.5945945945945946,50,16,22,23,0,9
38,2,phq9,8,PCA,XG,3,0.684931506849315,0.5855855855855856,50,15,23,23,0,9
39,2,phq9,8,PCA,XG,4,0.7074829931972789,0.6126126126126126,52,16,22,21,0,9
40,2,phq9,8,PCA,XG,1,0.6363636363636364,0.5675675675675675,42,21,17,31,0,10
41,2,phq9,8,PCA,XG,2,0.6713286713286712,0.5765765765765766,48,16,22,25,0,10
42,2,phq9,8,PCA,XG,3,0.7006369426751592,0.5765765765765766,55,9,29,18,1,10
43,2,phq9,8,PCA,XG,4,0.6756756756756757,0.5675675675675675,50,13,25,23,1,10
44,2,phq9,8,PCA,XG,1,0.7088607594936709,0.5855855855855856,56,9,29,17,0,11
45,2,phq9,8,PCA,XG,2,0.7058823529411764,0.5945945945945946,54,12,26,19,0,11
46,2,phq9,8,PCA,XG,3,0.6933333333333332,0.5855855855855856,52,13,25,21,0,11
47,2,phq9,8,PCA,XG,4,0.6979865771812079,0.5945945945945946,52,14,24,21,0,11
48,2,phq9,8,PCA,XG,1,0.68,0.5675675675675675,51,12,26,22,1,12
49,2,phq9,8,PCA,XG,2,0.6938775510204082,0.5945945945945946,51,15,23,22,1,12
50,2,phq9,8,PCA,XG,3,0.728476821192053,0.6306306306306306,55,15,23,18,0,12
51,2,phq9,8,PCA,XG,4,0.7333333333333334,0.6396396396396397,55,16,22,18,0,12
52,2,phq9,8,PCA,XG,1,0.5797101449275363,0.4774774774774775,40,13,25,33,0,13
53,2,phq9,8,PCA,XG,2,0.60431654676259,0.5045045045045045,42,14,24,31,0,13
54,2,phq9,8,PCA,XG,3,0.6620689655172415,0.5585585585585585,48,14,24,25,0,13
55,2,phq9,8,PCA,XG,4,0.6620689655172415,0.5585585585585585,48,14,24,25,0,13
56,2,phq9,8,PCA,XG,1,0.6301369863013698,0.5135135135135135,46,11,27,27,1,14
57,2,phq9,8,PCA,XG,2,0.7074829931972789,0.6126126126126126,52,16,22,21,1,14
58,2,phq9,8,PCA,XG,3,0.6620689655172415,0.5585585585585585,48,14,24,25,1,14
59,2,phq9,8,PCA,XG,4,0.6666666666666666,0.5675675675675675,48,15,23,25,1,14
60,2,phq9,8,PCA,XG,1,0.5820895522388061,0.4954954954954955,39,16,22,34,0,15
61,2,phq9,8,PCA,XG,2,0.6119402985074627,0.5315315315315315,41,18,20,32,1,15
62,2,phq9,8,PCA,XG,3,0.661764705882353,0.5855855855855856,45,20,18,28,0,15
