,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,phq9,8,PCA,XG,1,0.6285714285714286,0.5315315315315315,44,15,23,29,1,0
1,2,phq9,8,PCA,XG,2,0.6111111111111112,0.4954954954954955,44,11,27,29,1,0
2,2,phq9,8,PCA,XG,3,0.6918238993710691,0.5585585585585585,55,7,31,18,1,0
3,2,phq9,8,PCA,XG,4,0.65359477124183,0.5225225225225225,50,8,30,23,1,0
4,2,phq9,8,PCA,XG,1,0.5815602836879432,0.46846846846846846,41,11,27,32,1,1
5,2,phq9,8,PCA,XG,2,0.6710526315789473,0.5495495495495496,51,10,28,22,1,1
6,2,phq9,8,PCA,XG,3,0.653061224489796,0.5405405405405406,48,12,26,25,1,1
7,2,phq9,8,PCA,XG,4,0.6622516556291391,0.5405405405405406,50,10,28,23,0,1
8,2,phq9,8,PCA,XG,1,0.6111111111111112,0.4954954954954955,44,11,27,29,0,2
9,2,phq9,8,PCA,XG,2,0.5652173913043479,0.4594594594594595,39,12,26,34,0,2
10,2,phq9,8,PCA,XG,3,0.5285714285714286,0.40540540540540543,37,8,30,36,0,2
11,2,phq9,8,PCA,XG,4,0.5957446808510637,0.4864864864864865,42,12,26,31,0,2
12,2,phq9,8,PCA,XG,1,0.641025641025641,0.4954954954954955,50,5,33,23,1,3
13,2,phq9,8,PCA,XG,2,0.6455696202531646,0.4954954954954955,51,4,34,22,1,3
14,2,phq9,8,PCA,XG,3,0.6871165644171779,0.5405405405405406,56,4,34,17,1,3
15,2,phq9,8,PCA,XG,4,0.7204968944099379,0.5945945945945946,58,8,30,15,1,3
16,2,phq9,8,PCA,XG,1,0.6756756756756757,0.5675675675675675,50,13,25,23,1,4
17,2,phq9,8,PCA,XG,2,0.7074829931972789,0.6126126126126126,52,16,22,21,1,4
18,2,phq9,8,PCA,XG,3,0.6938775510204082,0.5945945945945946,51,15,23,22,1,4
19,2,phq9,8,PCA,XG,4,0.7189542483660132,0.6126126126126126,55,13,25,18,1,4
20,2,phq9,8,PCA,XG,1,0.703448275862069,0.6126126126126126,51,17,21,22,1,5
21,2,phq9,8,PCA,XG,2,0.6713286713286712,0.5765765765765766,48,16,22,25,1,5
22,2,phq9,8,PCA,XG,3,0.6944444444444443,0.6036036036036037,50,17,21,23,1,5
23,2,phq9,8,PCA,XG,4,0.7105263157894737,0.6036036036036037,54,13,25,19,1,5
24,2,phq9,8,PCA,XG,1,0.6013986013986014,0.4864864864864865,43,11,27,30,1,6
25,2,phq9,8,PCA,XG,2,0.6967741935483871,0.5765765765765766,54,10,28,19,1,6
26,2,phq9,8,PCA,XG,3,0.6578947368421053,0.5315315315315315,50,9,29,23,1,6
27,2,phq9,8,PCA,XG,4,0.7272727272727273,0.6216216216216216,56,13,25,17,1,6
28,2,phq9,8,PCA,XG,1,0.5857142857142857,0.4774774774774775,41,12,26,32,1,7
29,2,phq9,8,PCA,XG,2,0.6338028169014085,0.5315315315315315,45,14,24,28,1,7
30,2,phq9,8,PCA,XG,3,0.6293706293706294,0.5225225225225225,45,13,25,28,1,7
31,2,phq9,8,PCA,XG,4,0.6973684210526316,0.5855855855855856,53,12,26,20,1,7
32,2,phq9,8,PCA,XG,1,0.6618705035971223,0.5765765765765766,46,18,20,27,1,8
33,2,phq9,8,PCA,XG,2,0.7272727272727273,0.6216216216216216,56,13,25,17,0,8
34,2,phq9,8,PCA,XG,3,0.7307692307692306,0.6216216216216216,57,12,26,16,0,8
35,2,phq9,8,PCA,XG,4,0.751592356687898,0.6486486486486487,59,13,25,14,0,8
36,2,phq9,8,PCA,XG,1,0.626865671641791,0.5495495495495496,42,19,19,31,1,9
37,2,phq9,8,PCA,XG,2,0.6474820143884891,0.5585585585585585,45,17,21,28,1,9
38,2,phq9,8,PCA,XG,3,0.6428571428571429,0.5495495495495496,45,16,22,28,1,9
39,2,phq9,8,PCA,XG,4,0.6891891891891893,0.5855855855855856,51,14,24,22,1,9
40,2,phq9,8,PCA,XG,1,0.6323529411764707,0.5495495495495496,43,18,20,30,1,10
