,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,gad7,9,PCA,XG,1,0.38461538461538464,0.42342342342342343,20,27,32,32,1,0
1,2,gad7,9,PCA,XG,2,0.39999999999999997,0.5135135135135135,18,39,20,34,1,0
2,2,gad7,9,PCA,XG,3,0.3829787234042554,0.4774774774774775,18,35,24,34,1,0
3,2,gad7,9,PCA,XG,4,0.34408602150537637,0.45045045045045046,16,34,25,36,1,0
4,2,gad7,9,PCA,XG,1,0.36170212765957444,0.4594594594594595,17,34,25,35,0,1
5,2,gad7,9,PCA,XG,2,0.4235294117647059,0.5585585585585585,18,44,15,34,0,1
6,2,gad7,9,PCA,XG,3,0.4130434782608696,0.5135135135135135,19,38,21,33,0,1
7,2,gad7,9,PCA,XG,4,0.41379310344827586,0.5405405405405406,18,42,17,34,0,1
8,2,gad7,9,PCA,XG,1,0.39506172839506176,0.5585585585585585,16,46,13,36,0,2
9,2,gad7,9,PCA,XG,2,0.3,0.4954954954954955,12,43,16,40,0,2
10,2,gad7,9,PCA,XG,3,0.275,0.4774774774774775,11,42,17,41,0,2
11,2,gad7,9,PCA,XG,4,0.28205128205128205,0.4954954954954955,11,44,15,41,0,2
12,2,gad7,9,PCA,XG,1,0.2988505747126437,0.45045045045045046,13,37,22,39,1,3
13,2,gad7,9,PCA,XG,2,0.40425531914893614,0.4954954954954955,19,36,23,33,1,3
14,2,gad7,9,PCA,XG,3,0.37777777777777777,0.4954954954954955,17,38,21,35,0,3
15,2,gad7,9,PCA,XG,4,0.3655913978494624,0.46846846846846846,17,35,24,35,0,3
16,2,gad7,9,PCA,XG,1,0.35416666666666663,0.44144144144144143,17,32,27,35,0,4
17,2,gad7,9,PCA,XG,2,0.4421052631578947,0.5225225225225225,21,37,22,31,0,4
18,2,gad7,9,PCA,XG,3,0.3132530120481927,0.4864864864864865,13,41,18,39,0,4
19,2,gad7,9,PCA,XG,4,0.32941176470588235,0.4864864864864865,14,40,19,38,0,4
20,2,gad7,9,PCA,XG,1,0.4583333333333333,0.5315315315315315,22,37,22,30,1,5
21,2,gad7,9,PCA,XG,2,0.37894736842105264,0.46846846846846846,18,34,25,34,0,5
22,2,gad7,9,PCA,XG,3,0.40425531914893614,0.4954954954954955,19,36,23,33,0,5
23,2,gad7,9,PCA,XG,4,0.4791666666666667,0.5495495495495496,23,38,21,29,0,5
24,2,gad7,9,PCA,XG,1,0.3958333333333333,0.4774774774774775,19,34,25,33,0,6
25,2,gad7,9,PCA,XG,2,0.37777777777777777,0.4954954954954955,17,38,21,35,0,6
26,2,gad7,9,PCA,XG,3,0.37777777777777777,0.4954954954954955,17,38,21,35,0,6
27,2,gad7,9,PCA,XG,4,0.35714285714285715,0.5135135135135135,15,42,17,37,0,6
28,2,gad7,9,PCA,XG,1,0.44660194174757284,0.4864864864864865,23,31,28,29,0,7
29,2,gad7,9,PCA,XG,2,0.4175824175824176,0.5225225225225225,19,39,20,33,1,7
30,2,gad7,9,PCA,XG,3,0.40425531914893614,0.4954954954954955,19,36,23,33,1,7
31,2,gad7,9,PCA,XG,4,0.37777777777777777,0.4954954954954955,17,38,21,35,1,7
32,2,gad7,9,PCA,XG,1,0.35555555555555557,0.4774774774774775,16,37,22,36,0,8
33,2,gad7,9,PCA,XG,2,0.3414634146341463,0.5135135135135135,14,43,16,38,0,8
34,2,gad7,9,PCA,XG,3,0.35000000000000003,0.5315315315315315,14,45,14,38,0,8
35,2,gad7,9,PCA,XG,4,0.39506172839506176,0.5585585585585585,16,46,13,36,0,8
36,2,gad7,9,PCA,XG,1,0.3414634146341463,0.5135135135135135,14,43,16,38,0,9
37,2,gad7,9,PCA,XG,2,0.32941176470588235,0.4864864864864865,14,40,19,38,1,9
38,2,gad7,9,PCA,XG,3,0.39534883720930236,0.5315315315315315,17,42,17,35,1,9
39,2,gad7,9,PCA,XG,4,0.3820224719101124,0.5045045045045045,17,39,20,35,1,9
40,2,gad7,9,PCA,XG,1,0.3820224719101124,0.5045045045045045,17,39,20,35,0,10
41,2,gad7,9,PCA,XG,2,0.30379746835443033,0.5045045045045045,12,44,15,40,0,10
