,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,phq9,6,PCA,XG,1,0.6624203821656051,0.5225225225225225,52,6,24,29,0,0
1,2,phq9,6,PCA,XG,2,0.6493506493506493,0.5135135135135135,50,7,23,31,1,0
2,2,phq9,6,PCA,XG,3,0.6357615894039735,0.5045045045045045,48,8,22,33,1,0
3,2,phq9,6,PCA,XG,4,0.6623376623376623,0.5315315315315315,51,8,22,30,1,0
4,2,phq9,6,PCA,XG,1,0.7719298245614035,0.6486486486486487,66,6,24,15,1,1
5,2,phq9,6,PCA,XG,2,0.738095238095238,0.6036036036036037,62,5,25,19,0,1
6,2,phq9,6,PCA,XG,3,0.7529411764705881,0.6216216216216216,64,5,25,17,0,1
7,2,phq9,6,PCA,XG,4,0.7590361445783134,0.6396396396396397,63,8,22,18,0,1
8,2,phq9,6,PCA,XG,1,0.7439024390243902,0.6216216216216216,61,8,22,20,1,2
9,2,phq9,6,PCA,XG,2,0.6666666666666667,0.5405405405405406,51,9,21,30,1,2
10,2,phq9,6,PCA,XG,3,0.6838709677419356,0.5585585585585585,53,9,21,28,1,2
11,2,phq9,6,PCA,XG,4,0.662251655629139,0.5405405405405406,50,10,20,31,1,2
12,2,phq9,6,PCA,XG,1,0.5915492957746479,0.4774774774774775,42,11,19,39,0,3
13,2,phq9,6,PCA,XG,2,0.6928104575163399,0.5765765765765766,53,11,19,28,0,3
14,2,phq9,6,PCA,XG,3,0.6794871794871794,0.5495495495495496,53,8,22,28,0,3
15,2,phq9,6,PCA,XG,4,0.7133757961783439,0.5945945945945946,56,10,20,25,1,3
16,2,phq9,6,PCA,XG,1,0.7374999999999999,0.6216216216216216,59,10,20,22,1,4
17,2,phq9,6,PCA,XG,2,0.6956521739130435,0.5585585585585585,56,6,24,25,1,4
18,2,phq9,6,PCA,XG,3,0.757396449704142,0.6306306306306306,64,6,24,17,1,4
19,2,phq9,6,PCA,XG,4,0.7439024390243902,0.6216216216216216,61,8,22,20,1,4
20,2,phq9,6,PCA,XG,1,0.7250000000000001,0.6036036036036037,58,9,21,23,1,5
21,2,phq9,6,PCA,XG,2,0.7317073170731708,0.6036036036036037,60,7,23,21,1,5
22,2,phq9,6,PCA,XG,3,0.6918238993710691,0.5585585585585585,55,7,23,26,1,5
23,2,phq9,6,PCA,XG,4,0.7439024390243902,0.6216216216216216,61,8,22,20,1,5
24,2,phq9,6,PCA,XG,1,0.7261146496815287,0.6126126126126126,57,11,19,24,1,6
25,2,phq9,6,PCA,XG,2,0.7692307692307692,0.6486486486486487,65,7,23,16,1,6
26,2,phq9,6,PCA,XG,3,0.7215189873417721,0.6036036036036037,57,10,20,24,1,6
27,2,phq9,6,PCA,XG,4,0.7421383647798742,0.6306306306306306,59,11,19,22,1,6
28,2,phq9,6,PCA,XG,1,0.7125,0.5855855855855856,57,8,22,24,1,7
29,2,phq9,6,PCA,XG,2,0.7393939393939394,0.6126126126126126,61,7,23,20,1,7
30,2,phq9,6,PCA,XG,3,0.7484662576687118,0.6306306306306306,61,9,21,20,1,7
31,2,phq9,6,PCA,XG,4,0.7719298245614035,0.6486486486486487,66,6,24,15,0,7
32,2,phq9,6,PCA,XG,1,0.7804878048780488,0.6756756756756757,64,11,19,17,1,8
33,2,phq9,6,PCA,XG,2,0.7225806451612903,0.6126126126126126,56,12,18,25,0,8
34,2,phq9,6,PCA,XG,3,0.6751592356687897,0.5405405405405406,53,7,23,28,0,8
35,2,phq9,6,PCA,XG,4,0.7080745341614907,0.5765765765765766,57,7,23,24,0,8
36,2,phq9,6,PCA,XG,1,0.7006369426751592,0.5765765765765766,55,9,21,26,0,9
37,2,phq9,6,PCA,XG,2,0.6887417218543046,0.5765765765765766,52,12,18,29,1,9
38,2,phq9,6,PCA,XG,3,0.6577181208053691,0.5405405405405406,49,11,19,32,1,9
39,2,phq9,6,PCA,XG,4,0.7125,0.5855855855855856,57,8,22,24,1,9
40,2,phq9,6,PCA,XG,1,0.7105263157894737,0.6036036036036037,54,13,17,27,1,10
41,2,phq9,6,PCA,XG,2,0.7239263803680983,0.5945945945945946,59,7,23,22,1,10
42,2,phq9,6,PCA,XG,3,0.761904761904762,0.6396396396396397,64,7,23,17,1,10
43,2,phq9,6,PCA,XG,4,0.7745664739884394,0.6486486486486487,67,5,25,14,1,10
44,2,phq9,6,PCA,XG,1,0.6538461538461539,0.5135135135135135,51,6,24,30,0,11
45,2,phq9,6,PCA,XG,2,0.761904761904762,0.6396396396396397,64,7,23,17,0,11
46,2,phq9,6,PCA,XG,3,0.7398843930635839,0.5945945945945946,64,2,28,17,0,11
47,2,phq9,6,PCA,XG,4,0.7816091954022988,0.6576576576576577,68,5,25,13,0,11
