,week,label,split,Engineering,model,nFeatures,F1,Accuracy,truePos,trueNeg,falsePos,falseNeg,predictions,randomSeed
0,2,gad7,6,PCA,XG,1,0.6,0.4954954954954955,42,13,28,28,0,0
1,2,gad7,6,PCA,XG,2,0.6524822695035462,0.5585585585585585,46,16,25,24,1,0
2,2,gad7,6,PCA,XG,3,0.6277372262773724,0.5405405405405406,43,17,24,27,1,0
3,2,gad7,6,PCA,XG,4,0.6802721088435373,0.5765765765765766,50,14,27,20,1,0
4,2,gad7,6,PCA,XG,1,0.6712328767123288,0.5675675675675675,49,14,27,21,1,1
5,2,gad7,6,PCA,XG,2,0.6142857142857143,0.5135135135135135,43,14,27,27,0,1
6,2,gad7,6,PCA,XG,3,0.625,0.5135135135135135,45,12,29,25,0,1
7,2,gad7,6,PCA,XG,4,0.5496183206106869,0.46846846846846846,36,16,25,34,0,1
8,2,gad7,6,PCA,XG,1,0.606060606060606,0.5315315315315315,40,19,22,30,1,2
9,2,gad7,6,PCA,XG,2,0.582089552238806,0.4954954954954955,39,16,25,31,1,2
10,2,gad7,6,PCA,XG,3,0.5,0.42342342342342343,32,15,26,38,1,2
11,2,gad7,6,PCA,XG,4,0.5714285714285714,0.4864864864864865,38,16,25,32,1,2
12,2,gad7,6,PCA,XG,1,0.6239999999999999,0.5765765765765766,39,25,16,31,0,3
13,2,gad7,6,PCA,XG,2,0.6521739130434783,0.5675675675675675,45,18,23,25,0,3
14,2,gad7,6,PCA,XG,3,0.6911764705882353,0.6216216216216216,47,22,19,23,0,3
15,2,gad7,6,PCA,XG,4,0.6666666666666666,0.5855855855855856,46,19,22,24,1,3
16,2,gad7,6,PCA,XG,1,0.5692307692307693,0.4954954954954955,37,18,23,33,0,4
17,2,gad7,6,PCA,XG,2,0.6442953020134229,0.5225225225225225,48,10,31,22,1,4
18,2,gad7,6,PCA,XG,3,0.6388888888888888,0.5315315315315315,46,13,28,24,1,4
19,2,gad7,6,PCA,XG,4,0.6711409395973155,0.5585585585585585,50,12,29,20,1,4
20,2,gad7,6,PCA,XG,1,0.6620689655172415,0.5585585585585585,48,14,27,22,1,5
21,2,gad7,6,PCA,XG,2,0.6666666666666666,0.5495495495495496,50,11,30,20,1,5
22,2,gad7,6,PCA,XG,3,0.6845637583892618,0.5765765765765766,51,13,28,19,0,5
23,2,gad7,6,PCA,XG,4,0.7074829931972789,0.6126126126126126,52,16,25,18,0,5
24,2,gad7,6,PCA,XG,1,0.6165413533834587,0.5405405405405406,41,19,22,29,0,6
25,2,gad7,6,PCA,XG,2,0.6620689655172415,0.5585585585585585,48,14,27,22,0,6
26,2,gad7,6,PCA,XG,3,0.6986301369863013,0.6036036036036037,51,16,25,19,0,6
27,2,gad7,6,PCA,XG,4,0.6758620689655173,0.5765765765765766,49,15,26,21,0,6
28,2,gad7,6,PCA,XG,1,0.7114093959731544,0.6126126126126126,53,15,26,17,1,7
29,2,gad7,6,PCA,XG,2,0.6344827586206896,0.5225225225225225,46,12,29,24,1,7
30,2,gad7,6,PCA,XG,3,0.6428571428571429,0.5495495495495496,45,16,25,25,1,7
31,2,gad7,6,PCA,XG,4,0.6967741935483872,0.5765765765765766,54,10,31,16,1,7
32,2,gad7,6,PCA,XG,1,0.7248322147651006,0.6306306306306306,54,16,25,16,1,8
33,2,gad7,6,PCA,XG,2,0.6258503401360545,0.5045045045045045,46,10,31,24,1,8
34,2,gad7,6,PCA,XG,3,0.6153846153846154,0.5045045045045045,44,12,29,26,1,8
35,2,gad7,6,PCA,XG,4,0.6293706293706294,0.5225225225225225,45,13,28,25,1,8
36,2,gad7,6,PCA,XG,1,0.5161290322580645,0.4594594594594595,32,19,22,38,1,9
37,2,gad7,6,PCA,XG,2,0.5757575757575757,0.4954954954954955,38,17,24,32,1,9
38,2,gad7,6,PCA,XG,3,0.6056338028169014,0.4954954954954955,43,12,29,27,1,9
39,2,gad7,6,PCA,XG,4,0.6206896551724138,0.5045045045045045,45,11,30,25,1,9
40,2,gad7,6,PCA,XG,1,0.6666666666666666,0.5855855855855856,46,19,22,24,1,10
41,2,gad7,6,PCA,XG,2,0.6906474820143885,0.6126126126126126,48,20,21,22,1,10
42,2,gad7,6,PCA,XG,3,0.6428571428571429,0.5495495495495496,45,16,25,25,1,10
43,2,gad7,6,PCA,XG,4,0.6619718309859155,0.5675675675675675,47,16,25,23,1,10
44,2,gad7,6,PCA,XG,1,0.5496183206106869,0.46846846846846846,36,16,25,34,0,11
45,2,gad7,6,PCA,XG,2,0.6165413533834587,0.5405405405405406,41,19,22,29,0,11
46,2,gad7,6,PCA,XG,3,0.6417910447761194,0.5675675675675675,43,20,21,27,0,11
47,2,gad7,6,PCA,XG,4,0.6571428571428571,0.5675675675675675,46,17,24,24,0,11
48,2,gad7,6,PCA,XG,1,0.6442953020134229,0.5225225225225225,48,10,31,22,1,12
49,2,gad7,6,PCA,XG,2,0.7142857142857143,0.6036036036036037,55,12,29,15,1,12
50,2,gad7,6,PCA,XG,3,0.7215189873417721,0.6036036036036037,57,10,31,13,1,12
51,2,gad7,6,PCA,XG,4,0.6967741935483872,0.5765765765765766,54,10,31,16,1,12
52,2,gad7,6,PCA,XG,1,0.7044025157232705,0.5765765765765766,56,8,33,14,1,13
53,2,gad7,6,PCA,XG,2,0.6535947712418301,0.5225225225225225,50,8,33,20,1,13
54,2,gad7,6,PCA,XG,3,0.6577181208053692,0.5405405405405406,49,11,30,21,1,13
55,2,gad7,6,PCA,XG,4,0.7246376811594202,0.6576576576576577,50,23,18,20,0,13
56,2,gad7,6,PCA,XG,1,0.5294117647058822,0.42342342342342343,36,11,30,34,1,14
57,2,gad7,6,PCA,XG,2,0.6266666666666667,0.4954954954954955,47,8,33,23,1,14
58,2,gad7,6,PCA,XG,3,0.6578947368421052,0.5315315315315315,50,9,32,20,1,14
59,2,gad7,6,PCA,XG,4,0.7096774193548386,0.5945945945945946,55,11,30,15,1,14
60,2,gad7,6,PCA,XG,1,0.6901408450704225,0.6036036036036037,49,18,23,21,1,15
61,2,gad7,6,PCA,XG,2,0.6620689655172415,0.5585585585585585,48,14,27,22,0,15
62,2,gad7,6,PCA,XG,3,0.7225806451612903,0.6126126126126126,56,12,29,14,0,15
63,2,gad7,6,PCA,XG,4,0.7027027027027027,0.6036036036036037,52,15,26,18,0,15
64,2,gad7,6,PCA,XG,1,0.6131386861313868,0.5225225225225225,42,16,25,28,1,16
65,2,gad7,6,PCA,XG,2,0.6363636363636364,0.5675675675675675,42,21,20,28,1,16
66,2,gad7,6,PCA,XG,3,0.626865671641791,0.5495495495495496,42,19,22,28,1,16
67,2,gad7,6,PCA,XG,4,0.7285714285714285,0.6576576576576577,51,22,19,19,0,16
68,2,gad7,6,PCA,XG,1,0.684931506849315,0.5855855855855856,50,15,26,20,1,17
69,2,gad7,6,PCA,XG,2,0.68,0.5675675675675675,51,12,29,19,1,17
70,2,gad7,6,PCA,XG,3,0.6666666666666666,0.5585585585585585,49,13,28,21,1,17
71,2,gad7,6,PCA,XG,4,0.6438356164383561,0.5315315315315315,47,12,29,23,1,17
72,2,gad7,6,PCA,XG,1,0.6814814814814816,0.6126126126126126,46,22,19,24,1,18
73,2,gad7,6,PCA,XG,2,0.6571428571428571,0.5675675675675675,46,17,24,24,1,18
74,2,gad7,6,PCA,XG,3,0.6575342465753424,0.5495495495495496,48,13,28,22,1,18
75,2,gad7,6,PCA,XG,4,0.6482758620689655,0.5405405405405406,47,13,28,23,1,18
76,2,gad7,6,PCA,XG,1,0.6015037593984962,0.5225225225225225,40,18,23,30,0,19
77,2,gad7,6,PCA,XG,2,0.6131386861313868,0.5225225225225225,42,16,25,28,1,19
78,2,gad7,6,PCA,XG,3,0.6620689655172415,0.5585585585585585,48,14,27,22,0,19
79,2,gad7,6,PCA,XG,4,0.6433566433566433,0.5405405405405406,46,14,27,24,0,19
80,2,gad7,6,PCA,XG,1,0.5757575757575757,0.4954954954954955,38,17,24,32,1,20
81,2,gad7,6,PCA,XG,2,0.6222222222222222,0.5405405405405406,42,18,23,28,1,20
82,2,gad7,6,PCA,XG,3,0.6382978723404257,0.5405405405405406,45,15,26,25,1,20
83,2,gad7,6,PCA,XG,4,0.6530612244897959,0.5405405405405406,48,12,29,22,1,20
84,2,gad7,6,PCA,XG,1,0.6620689655172415,0.5585585585585585,48,14,27,22,1,21
85,2,gad7,6,PCA,XG,2,0.6883116883116883,0.5675675675675675,53,10,31,17,1,21
86,2,gad7,6,PCA,XG,3,0.6535947712418301,0.5225225225225225,50,8,33,20,1,21
87,2,gad7,6,PCA,XG,4,0.6710526315789473,0.5495495495495496,51,10,31,19,1,21
88,2,gad7,6,PCA,XG,1,0.6524822695035462,0.5585585585585585,46,16,25,24,0,22
89,2,gad7,6,PCA,XG,2,0.6797385620915033,0.5585585585585585,52,10,31,18,1,22
